id,category,sentence_a,sentence_b,expected,predicted,similarity_score,similarity_pct,latency_ms,execution_mode
91,STS-B (main-captions),A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,Similar,Similar,0.9016,90.16%,1391.92,Real API
96,STS-B (main-captions),A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,Similar,Similar,0.8777,87.77%,1354.51,Real API
101,STS-B (main-captions),A grey cat lying on a wooden table.,A grey cat laying on a dining table.,Similar,Similar,0.9346,93.46%,1391.59,Real API
106,STS-B (main-captions),Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,Similar,Similar,0.8939,89.39%,1353.56,Real API
111,STS-B (main-captions),A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,Similar,Similar,0.9224,92.24%,1354.06,Real API
116,STS-B (main-captions),A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,Similar,Similar,0.8531,85.31%,1367.72,Real API
121,STS-B (main-captions),Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,Similar,Similar,0.9453,94.53%,1416.36,Real API
126,STS-B (main-captions),A girl is styling her hair.,A girl is brushing her hair.,Not Similar,Similar,0.8858,88.58%,1423.83,Real API
131,STS-B (main-captions),A man is playing a guitar.,A man is playing a trumpet.,Not Similar,Similar,0.8081,80.81%,1343.26,Real API
136,STS-B (main-captions),A man is driving a car.,A man is riding a horse.,Not Similar,Similar,0.785,78.50%,1360.24,Real API
141,STS-B (main-captions),A man is riding a motorcycle.,A woman is riding a horse.,Not Similar,Similar,0.7537,75.37%,1403.48,Real API
146,STS-B (main-captions),A man is playing a guitar.,A man is eating pasta.,Not Similar,Similar,0.7308,73.08%,1907.12,Real API
151,STS-B (main-captions),A man is cutting apple by his hand.,A man is cutting carpet with a knife.,Not Similar,Similar,0.7651,76.51%,1378.55,Real API
156,STS-B (main-captions),A woman is dancing.,A woman is playing violin.,Not Similar,Similar,0.7618,76.18%,1354.09,Real API
161,STS-B (main-captions),A woman is picking a can.,A man is playing a guitar.,Not Similar,Not Similar,0.6181,61.81%,1477.02,Real API
166,STS-B (main-captions),A man is holding a leaf.,A monkey is fighting a man.,Not Similar,Not Similar,0.6798,67.98%,1329.98,Real API
171,STS-B (main-captions),The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,Not Similar,Similar,0.8496,84.96%,1338.21,Real API
176,STS-B (main-captions),A man is opening a box and taking out paper.,A woman is peeling a potato.,Not Similar,Not Similar,0.6253,62.53%,1378.68,Real API
181,STS-B (main-captions),The cat is licking a bottle.,A cat plays with a small bottle.,Not Similar,Similar,0.8609,86.09%,1410.32,Real API
186,STS-B (main-captions),"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,Not Similar,Similar,0.8008,80.08%,1399.35,Real API
191,STS-B (main-captions),A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,Not Similar,Similar,0.7833,78.33%,1394.92,Real API
196,STS-B (main-captions),Five men jump into a swimming pool.,A group of swimmers fall into a pool.,Not Similar,Similar,0.8219,82.19%,1430.29,Real API
201,STS-B (main-captions),A man is dragging a dead deer.,A man is jumping into water from a cliff.,Not Similar,Not Similar,0.6749,67.49%,1411.85,Real API
206,STS-B (main-captions),A baby elephant is eating a small tree.,A little girl peddling a scooter.,Not Similar,Not Similar,0.6191,61.91%,1433.12,Real API
211,STS-B (main-captions),A woman is playing an electric guitar.,A man is playing an acoustic guitar.,Not Similar,Similar,0.7462,74.62%,1434.15,Real API
216,STS-B (main-captions),A girl is playing guitar.,A girl is playing a piano.,Not Similar,Similar,0.853,85.30%,1345.29,Real API
221,STS-B (main-captions),A man is spitting.,A man is talking.,Not Similar,Similar,0.7513,75.13%,1386.5,Real API
226,STS-B (main-captions),A man is playing drums.,A man is playing his guitar.,Not Similar,Similar,0.7764,77.64%,1390.41,Real API
231,STS-B (main-captions),The man is playing the guitar.,The man is peeling a potato.,Not Similar,Not Similar,0.6984,69.84%,1429.12,Real API
236,STS-B (main-captions),A dog is playing with a toy.,A dog is eating a doll.,Not Similar,Similar,0.7613,76.13%,1357.07,Real API
241,STS-B (main-captions),A person is riding a motorcyle.,A person is chopping an onion.,Not Similar,Not Similar,0.6969,69.69%,1344.32,Real API
246,STS-B (main-captions),A woman is folding paper.,A woman is applying eye shadow.,Not Similar,Similar,0.7267,72.67%,1358.99,Real API
