id,category,sentence_a,sentence_b,expected,predicted_lexical,predicted_local,predicted_api,predicted_cascading,predicted_optimal_ensemble,score_local,score_api,score_optimal_ensemble
35,STS-B (main-captions),Two men pushed carts through the woods.,Two men are pushing carts.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7436,0.8496,0.7896
36,STS-B (main-captions),The lady peeled the potatoe.,A woman is peeling a potato.,Similar,Not Similar,Similar,Not Similar,Not Similar,Not Similar,0.7513,0.6253,0.4033
37,STS-B (main-captions),A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7954,0.8609,0.801
38,STS-B (main-captions),Someone typed on a keyboard.,Someone is typing.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.8778,0.8008,0.6826
39,STS-B (main-captions),An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.8035,0.7833,0.7344
40,STS-B (main-captions),A group of people are dancing.,Women are dancing outside.,Similar,Not Similar,Not Similar,Similar,Similar,Similar,0.6027,0.8219,0.7408
41,STS-B (main-captions),A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,Similar,Not Similar,Not Similar,Not Similar,Not Similar,Not Similar,0.6398,0.6749,0.4897
42,STS-B (main-captions),The panda bear lay on the logs.,A panda is lying down.,Similar,Not Similar,Similar,Not Similar,Not Similar,Not Similar,0.716,0.6191,0.4061
43,STS-B (main-captions),A cheetah is running behind its prey.,A cheetah chases prey on across a field.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.8253,0.7462,0.6771
44,STS-B (main-captions),A dog is barking at a toy.,The little dog barked at the electronic toy.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7425,0.853,0.763
45,STS-B (main-captions),A woman and man are dancing in the rain.,A man and woman are dancing in rain.,Similar,Similar,Similar,Similar,Similar,Not Similar,0.9895,0.7513,0.5925
46,STS-B (main-captions),Two men are fistfighting in a ring.,Two men fistfight in a ring.,Similar,Similar,Similar,Similar,Similar,Not Similar,0.9276,0.7764,0.6613
47,STS-B (main-captions),A person wipes butter on a tray.,A person is buttering a tray.,Similar,Similar,Similar,Not Similar,Not Similar,Not Similar,0.8073,0.6984,0.5012
48,STS-B (main-captions),Two men are playing football.,Two men are practicing football.,Similar,Similar,Similar,Similar,Similar,Not Similar,0.8061,0.7613,0.6595
49,STS-B (main-captions),A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,Similar,Similar,Similar,Not Similar,Not Similar,Not Similar,0.8275,0.6969,0.5156
50,STS-B (main-captions),A child is waking up.,A girl is waking up.,Similar,Similar,Similar,Similar,Similar,Not Similar,0.8218,0.7267,0.5816
51,STS-B (main-captions),A boy is playing a key-board.,A little boy is playing a keyboard.,Similar,Similar,Similar,,,,0.7644,,
52,STS-B (main-captions),A woman plays the flute.,A woman is playing the flute.,Similar,Similar,Similar,,,,0.9906,,
53,STS-B (main-captions),A group of people are sweeping water out of a house.,People are sweeping water out of a house.,Similar,Similar,Similar,,,,0.9664,,
54,STS-B (main-captions),A man plays a guitar.,A man is playing a guitar.,Similar,Similar,Similar,,,,0.9833,,
55,STS-B (main-captions),A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,Similar,Similar,Similar,,,,0.8952,,
56,STS-B (main-captions),A woman is climbing a cliff.,A woman is climbing a rock face.,Similar,Similar,Not Similar,,,,0.6818,,
57,STS-B (main-captions),A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,Similar,Similar,Similar,,,,0.9235,,
58,STS-B (main-captions),A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,Similar,Similar,Similar,,,,0.74,,
59,STS-B (main-captions),A man is riding a horse by a creek.,A man is riding a horse.,Similar,Similar,Similar,,,,0.7747,,
60,STS-B (main-captions),A man is playing a guitar.,A man is playing a guitar and singing.,Similar,Similar,Similar,,,,0.8108,,
61,STS-B (main-captions),A man is picking up a tree.,A man is carrying a tree.,Similar,Not Similar,Similar,,,,0.754,,
62,STS-B (main-captions),A person is peeling a potato.,The man is peeling a potato.,Similar,Similar,Similar,,,,0.9052,,
63,STS-B (main-captions),A man is playing a musical keyboard.,A man is playing a keyboard piano.,Similar,Similar,Similar,,,,0.8917,,
64,STS-B (main-captions),A man plays a trumpet.,A man is playing the trumpet.,Similar,Similar,Similar,,,,0.9803,,
65,STS-B (main-captions),A woman is playing a guitar and singing.,A woman is playing the guitar.,Similar,Similar,Similar,,,,0.8503,,
66,STS-B (main-captions),The man is eating.,A man is eating food.,Similar,Similar,Similar,,,,0.9467,,
67,STS-B (main-captions),A little boy hits a golf ball.,The little boy swung at the golf ball.,Similar,Similar,Similar,,,,0.8681,,
68,STS-B (main-captions),A guy is taking off his sunglasses.,A boy is removing his sunglasses.,Similar,Similar,Similar,,,,0.7589,,
69,STS-B (main-captions),Someone is reading an email.,A man is reading his email.,Similar,Not Similar,Similar,,,,0.876,,
70,STS-B (main-captions),A person is slicing onions.,Someone is slicing an onion.,Similar,Not Similar,Similar,,,,0.9496,,
71,STS-B (main-captions),A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,Similar,Similar,Similar,,,,0.8023,,
72,STS-B (main-captions),A cat cleans itself.,A cat is licking itself.,Similar,Not Similar,Similar,,,,0.7345,,
73,STS-B (main-captions),Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,Similar,Similar,Similar,,,,0.7866,,
74,STS-B (main-captions),The woman is measuring the other woman.,The lady measured the other woman's ankle.,Similar,Not Similar,Similar,,,,0.7403,,
75,STS-B (main-captions),A man pours rice into a pot.,A man is putting rice in a bowling pot.,Similar,Not Similar,Similar,,,,0.7962,,
76,STS-B (main-captions),A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,Similar,Not Similar,Similar,,,,0.7616,,
77,STS-B (main-captions),Men are playing soccer.,Two teams play soccer.,Similar,Not Similar,Not Similar,,,,0.6433,,
78,STS-B (main-captions),A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,Similar,Not Similar,Similar,,,,0.8802,,
79,STS-B (main-captions),A panda bear is chewing on a stick.,A baby panda plays with a stick.,Similar,Not Similar,Similar,,,,0.773,,
80,STS-B (main-captions),The people are lifting bags.,Several people are carrying large bags.,Similar,Not Similar,Not Similar,,,,0.696,,
81,STS-B (main-captions),The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,Similar,Not Similar,Not Similar,,,,0.6418,,
82,STS-B (main-captions),A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,Similar,Not Similar,Similar,,,,0.7969,,
83,STS-B (main-captions),A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,Similar,Not Similar,Similar,,,,0.7055,,
84,STS-B (main-captions),The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,Similar,Not Similar,Not Similar,,,,0.6865,,
85,STS-B (main-captions),Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,Similar,Not Similar,Not Similar,,,,0.4764,,
86,STS-B (main-captions),A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,Similar,Not Similar,Similar,,,,0.7759,,
87,STS-B (main-captions),A woman puts make-up on.,A woman is putting on eyeshadow.,Similar,Not Similar,Not Similar,,,,0.6602,,
88,STS-B (main-captions),A cat plays in his water.,The cat fished a straw out ouf his water dish.,Similar,Not Similar,Not Similar,,,,0.6621,,
89,STS-B (main-captions),The man is exercising.,A man is doing pull-ups.,Similar,Not Similar,Not Similar,,,,0.6474,,
90,STS-B (main-captions),A moped in front of steps of ruins.,A moped in front of ruins.,Similar,Similar,Similar,,,,0.944,,
91,STS-B (main-captions),A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,Similar,Not Similar,Similar,,,,0.7199,,
92,STS-B (main-captions),A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,Similar,Not Similar,Similar,,,,0.7281,,
93,STS-B (main-captions),A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,Similar,Similar,Similar,,,,0.7829,,
94,STS-B (main-captions),Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,Similar,Similar,Similar,,,,0.9001,,
95,STS-B (main-captions),A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,Similar,Not Similar,Similar,,,,0.7343,,
96,STS-B (main-captions),A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,Similar,Similar,Similar,,,,0.7796,,
97,STS-B (main-captions),Young couple sitting on a black couch.,Young couple sitting on couch.,Similar,Similar,Similar,,,,0.9262,,
98,STS-B (main-captions),Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,Similar,Not Similar,Not Similar,,,,0.5767,,
99,STS-B (main-captions),Red and white bus driving down road.,A bus drives down a busy road.,Similar,Not Similar,Similar,,,,0.7596,,
100,STS-B (main-captions),Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,Similar,Similar,Similar,,,,0.9583,,
101,STS-B (main-captions),A grey cat lying on a wooden table.,A grey cat laying on a dining table.,Similar,Similar,Similar,,,,0.9053,,
102,STS-B (main-captions),A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,Similar,Not Similar,Not Similar,,,,0.6557,,
103,STS-B (main-captions),a close up head of an ostrich.,A close up of an ostrich face.,Similar,Similar,Similar,,,,0.9039,,
104,STS-B (main-captions),Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,Similar,Not Similar,Similar,,,,0.9295,,
105,STS-B (main-captions),A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,Similar,Similar,Similar,,,,0.9848,,
106,STS-B (main-captions),Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,Similar,Similar,Similar,,,,0.7919,,
107,STS-B (main-captions),A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,Similar,Not Similar,Similar,,,,0.8112,,
108,STS-B (main-captions),a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,Similar,Not Similar,Similar,,,,0.8735,,
109,STS-B (main-captions),A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,Similar,Not Similar,Similar,,,,0.7469,,
110,STS-B (main-captions),A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,Similar,Not Similar,Similar,,,,0.8009,,
111,STS-B (main-captions),A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,Similar,Not Similar,Similar,,,,0.7606,,
112,STS-B (main-captions),Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,Similar,Not Similar,Similar,,,,0.8943,,
113,STS-B (main-captions),A train is at a train station.,The train sits at the train station.,Similar,Similar,Similar,,,,0.8581,,
114,STS-B (main-captions),Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",Similar,Not Similar,Not Similar,,,,0.6104,,
115,STS-B (main-captions),A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,Similar,Not Similar,Similar,,,,0.8194,,
116,STS-B (main-captions),A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,Similar,Not Similar,Not Similar,,,,0.6273,,
117,STS-B (main-captions),Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,Similar,Similar,Not Similar,,,,0.6919,,
118,STS-B (main-captions),A red and white bus drives down an England street.,A red and white England bus drives down the street.,Similar,Similar,Similar,,,,0.9844,,
119,STS-B (main-captions),A group of horses grazing in a field.,Group of horses grazing in grassy field.,Similar,Similar,Similar,,,,0.9664,,
120,STS-B (main-captions),Several people on motorcycles in a market square.,People on motorbikes in a city street.,Similar,Not Similar,Not Similar,,,,0.5613,,
121,STS-B (main-captions),Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,Similar,Similar,Similar,,,,0.8433,,
122,STS-B (main-captions),Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,Similar,Not Similar,Not Similar,,,,0.6679,,
123,STS-B (main-captions),Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,Similar,Similar,Similar,,,,0.8912,,
124,STS-B (main-captions),Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,Similar,Not Similar,Similar,,,,0.7496,,
125,STS-B (main-captions),Black and white cow standing near pile of snow.,a black and white cow standing in the field.,Similar,Not Similar,Similar,,,,0.7702,,
126,STS-B (main-captions),A girl is styling her hair.,A girl is brushing her hair.,Not Similar,Not Similar,Similar,,,,0.8052,,
127,STS-B (main-captions),A man is playing a harp.,A man is playing a keyboard.,Not Similar,Similar,Not Similar,,,,0.3556,,
128,STS-B (main-captions),A woman is cutting onions.,A woman is cutting tofu.,Not Similar,Similar,Not Similar,,,,0.5017,,
129,STS-B (main-captions),A man is playing the drums.,A man is playing the guitar.,Not Similar,Similar,Not Similar,,,,0.4757,,
130,STS-B (main-captions),A man is playing guitar.,A lady is playing the guitar.,Not Similar,Similar,Not Similar,,,,0.6182,,
131,STS-B (main-captions),A man is playing a guitar.,A man is playing a trumpet.,Not Similar,Not Similar,Not Similar,,,,0.5096,,
132,STS-B (main-captions),A man is playing a guitar.,A man is playing a trumpet.,Not Similar,Not Similar,Not Similar,,,,0.5096,,
133,STS-B (main-captions),A man is cycling.,A man is talking.,Not Similar,Not Similar,Not Similar,,,,0.3421,,
134,STS-B (main-captions),A man is slicing a tomato.,A man is slicing a bun.,Not Similar,Similar,Not Similar,,,,0.5629,,
135,STS-B (main-captions),A man is playing a guitar.,A man is playing a keyboard.,Not Similar,Similar,Not Similar,,,,0.4958,,
136,STS-B (main-captions),A man is driving a car.,A man is riding a horse.,Not Similar,Not Similar,Not Similar,,,,0.3028,,
137,STS-B (main-captions),A woman is cutting tofu.,A woman is cutting an onion.,Not Similar,Similar,Not Similar,,,,0.4802,,
138,STS-B (main-captions),The woman is styling her hair.,The woman is slicing herbs.,Not Similar,Similar,Not Similar,,,,0.3257,,
139,STS-B (main-captions),A man is slicing an onion.,A woman is slicing a pumpkin.,Not Similar,Not Similar,Not Similar,,,,0.5133,,
140,STS-B (main-captions),A  man is dancing.,A man and woman is dancing.,Not Similar,Similar,Similar,,,,0.7003,,
141,STS-B (main-captions),A man is riding a motorcycle.,A woman is riding a horse.,Not Similar,Not Similar,Not Similar,,,,0.1442,,
142,STS-B (main-captions),A woman is slicing garlics.,A woman is slicing an onion.,Not Similar,Similar,Similar,,,,0.7678,,
143,STS-B (main-captions),A man is speaking.,A man is cooking.,Not Similar,Not Similar,Not Similar,,,,0.3162,,
144,STS-B (main-captions),A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,Not Similar,Similar,Not Similar,,,,0.6633,,
145,STS-B (main-captions),A woman is wrapping tofu.,A woman is balling dough.,Not Similar,Not Similar,Not Similar,,,,0.4439,,
146,STS-B (main-captions),A man is playing a guitar.,A man is eating pasta.,Not Similar,Not Similar,Not Similar,,,,0.1761,,
147,STS-B (main-captions),A man is kicking pots of water.,A man is picking flowers.,Not Similar,Not Similar,Not Similar,,,,0.2722,,
148,STS-B (main-captions),A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,Not Similar,Not Similar,Not Similar,,,,0.5674,,
149,STS-B (main-captions),A woman is taking a bath.,A woman is riding a horse.,Not Similar,Similar,Not Similar,,,,0.3469,,
150,STS-B (main-captions),A man is playing a guitar.,A man is driving a car.,Not Similar,Not Similar,Not Similar,,,,0.2636,,
151,STS-B (main-captions),A man is cutting apple by his hand.,A man is cutting carpet with a knife.,Not Similar,Not Similar,Not Similar,,,,0.601,,
152,STS-B (main-captions),A man is opening a door.,A man is cutting an onion.,Not Similar,Not Similar,Not Similar,,,,0.2491,,
153,STS-B (main-captions),A man is slicing a tomato.,A man is riding a horse.,Not Similar,Not Similar,Not Similar,,,,0.166,,
154,STS-B (main-captions),A man is cutting paper with a sword.,A woman is cutting a tomato.,Not Similar,Not Similar,Not Similar,,,,0.3898,,
155,STS-B (main-captions),The ballerina is dancing.,A man is dancing.,Not Similar,Not Similar,Not Similar,,,,0.5917,,
156,STS-B (main-captions),A woman is dancing.,A woman is playing violin.,Not Similar,Not Similar,Not Similar,,,,0.5061,,
157,STS-B (main-captions),A woman is slicing some tomatoes.,A woman is chopping a potato.,Not Similar,Not Similar,Not Similar,,,,0.5826,,
158,STS-B (main-captions),A woman is water skiing.,A woman is slicing fish.,Not Similar,Not Similar,Not Similar,,,,0.2738,,
159,STS-B (main-captions),A man is playing a flute.,A man is riding a scooter.,Not Similar,Not Similar,Not Similar,,,,0.2302,,
160,STS-B (main-captions),A man is playing the piano.,A man played the guitar.,Not Similar,Not Similar,Not Similar,,,,0.4795,,
161,STS-B (main-captions),A woman is picking a can.,A man is playing a guitar.,Not Similar,Not Similar,Not Similar,,,,0.0167,,
162,STS-B (main-captions),A woman is cutting an onion.,A woman is cleaning a garden.,Not Similar,Not Similar,Not Similar,,,,0.4654,,
163,STS-B (main-captions),A car is driven down the road.,A girl is walking down a road.,Not Similar,Not Similar,Not Similar,,,,0.5296,,
164,STS-B (main-captions),A train is moving.,A man is doing yoga.,Not Similar,Not Similar,Not Similar,,,,0.0723,,
165,STS-B (main-captions),A woman is playing in the ocean.,A woman is preparing shrimp to cook.,Not Similar,Not Similar,Not Similar,,,,0.3847,,
166,STS-B (main-captions),A man is holding a leaf.,A monkey is fighting a man.,Not Similar,Not Similar,Not Similar,,,,0.2487,,
167,STS-B (main-captions),A woman is peeling shrimp.,A man is squeezing water.,Not Similar,Not Similar,Not Similar,,,,0.0164,,
168,STS-B (main-captions),A man is playing a guitar.,A woman is riding a horse.,Not Similar,Not Similar,Not Similar,,,,0.004,,
169,STS-B (main-captions),A skunk is looking here and there.,A skunk looks at the camera.,Not Similar,Not Similar,Similar,,,,0.8065,,
170,STS-B (main-captions),A woman opens a window.,A man is crawling.,Not Similar,Not Similar,Not Similar,,,,0.0,,
171,STS-B (main-captions),The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,Not Similar,Not Similar,Not Similar,,,,0.6997,,
172,STS-B (main-captions),A woman is filing her nails.,A man is peeling a carrot.,Not Similar,Not Similar,Not Similar,,,,0.0657,,
173,STS-B (main-captions),A boy is crawling into a dog house.,A boy is playing a wooden flute.,Not Similar,Not Similar,Not Similar,,,,0.213,,
174,STS-B (main-captions),A woman is swimming underwater.,A man is slicing some carrots.,Not Similar,Not Similar,Not Similar,,,,0.0,,
175,STS-B (main-captions),A monkey is playing drums.,A gorilla plays the drums.,Not Similar,Not Similar,Similar,,,,0.766,,
176,STS-B (main-captions),A man is opening a box and taking out paper.,A woman is peeling a potato.,Not Similar,Not Similar,Not Similar,,,,0.0702,,
177,STS-B (main-captions),A woman is dancing.,A woman plays the clarinet.,Not Similar,Not Similar,Not Similar,,,,0.4128,,
178,STS-B (main-captions),The men played follow the leader on the grass.,The rhino grazed on the grass.,Not Similar,Not Similar,Not Similar,,,,0.3529,,
179,STS-B (main-captions),A woman is cracking eggs.,A man is talking to a woman.,Not Similar,Not Similar,Not Similar,,,,0.0839,,
180,STS-B (main-captions),A woman peels garlic with her hands.,The woman is slicing herbs.,Not Similar,Not Similar,Not Similar,,,,0.548,,
181,STS-B (main-captions),The cat is licking a bottle.,A cat plays with a small bottle.,Not Similar,Not Similar,Similar,,,,0.7112,,
182,STS-B (main-captions),A person is slicing an onion.,A person cuts ginger.,Not Similar,Not Similar,Not Similar,,,,0.4799,,
183,STS-B (main-captions),A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,Not Similar,Not Similar,Not Similar,,,,0.3579,,
184,STS-B (main-captions),A man is seasoning some carrots.,A woman is slicing garlic.,Not Similar,Not Similar,Not Similar,,,,0.2424,,
185,STS-B (main-captions),A man is playing a football.,A man is maneuvering a soccer ball with his feet.,Not Similar,Not Similar,Not Similar,,,,0.5592,,
186,STS-B (main-captions),"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,Not Similar,Not Similar,Not Similar,,,,0.5052,,
187,STS-B (main-captions),A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,Not Similar,Not Similar,Similar,,,,0.7665,,
188,STS-B (main-captions),A cat is walking around a house.,A woman is peeling potato.,Not Similar,Not Similar,Not Similar,,,,0.0426,,
189,STS-B (main-captions),A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,Not Similar,Not Similar,Not Similar,,,,0.2836,,
190,STS-B (main-captions),A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,Not Similar,Not Similar,Not Similar,,,,0.6433,,
191,STS-B (main-captions),A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,Not Similar,Not Similar,Not Similar,,,,0.6611,,
192,STS-B (main-captions),A man is playing guitar.,A boy is talking to a giant dog.,Not Similar,Not Similar,Not Similar,,,,0.0,,
193,STS-B (main-captions),A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,Not Similar,Not Similar,Not Similar,,,,0.5715,,
194,STS-B (main-captions),A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,Not Similar,Not Similar,Not Similar,,,,0.4207,,
195,STS-B (main-captions),A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,Not Similar,Not Similar,Not Similar,,,,0.5336,,
196,STS-B (main-captions),Five men jump into a swimming pool.,A group of swimmers fall into a pool.,Not Similar,Not Similar,Not Similar,,,,0.6191,,
197,STS-B (main-captions),A cat is playing on the floor.,A man is slicing garlic.,Not Similar,Not Similar,Not Similar,,,,0.0059,,
198,STS-B (main-captions),A boy is playing violin on stage.,A person is mixing a pot.,Not Similar,Not Similar,Not Similar,,,,0.1126,,
199,STS-B (main-captions),A man is cycling.,A boy is riding a bicycle.,Not Similar,Not Similar,Not Similar,,,,0.52,,
200,STS-B (main-captions),A woman is slicing ginger.,A person is holding two baby lorises.,Not Similar,Not Similar,Not Similar,,,,0.066,,
201,STS-B (main-captions),A man is dragging a dead deer.,A man is jumping into water from a cliff.,Not Similar,Not Similar,Not Similar,,,,0.2118,,
