id,category,sentence_a,sentence_b,expected,predicted,similarity_score,similarity_pct,latency_ms,execution_mode
91,STS-B (main-captions),A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,Similar,Similar,0.7199,71.99%,4.02,Local CPU
92,STS-B (main-captions),A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,Similar,Similar,0.7281,72.81%,4.02,Local CPU
93,STS-B (main-captions),A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,Similar,Similar,0.7829,78.29%,4.02,Local CPU
94,STS-B (main-captions),Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,Similar,Similar,0.9001,90.01%,4.02,Local CPU
95,STS-B (main-captions),A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,Similar,Similar,0.7343,73.43%,4.02,Local CPU
96,STS-B (main-captions),A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,Similar,Similar,0.7796,77.96%,4.02,Local CPU
97,STS-B (main-captions),Young couple sitting on a black couch.,Young couple sitting on couch.,Similar,Similar,0.9262,92.62%,4.02,Local CPU
98,STS-B (main-captions),Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,Similar,Not Similar,0.5767,57.67%,4.02,Local CPU
99,STS-B (main-captions),Red and white bus driving down road.,A bus drives down a busy road.,Similar,Similar,0.7596,75.96%,4.02,Local CPU
100,STS-B (main-captions),Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,Similar,Similar,0.9583,95.83%,4.02,Local CPU
101,STS-B (main-captions),A grey cat lying on a wooden table.,A grey cat laying on a dining table.,Similar,Similar,0.9053,90.53%,4.02,Local CPU
102,STS-B (main-captions),A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,Similar,Not Similar,0.6557,65.57%,4.02,Local CPU
103,STS-B (main-captions),a close up head of an ostrich.,A close up of an ostrich face.,Similar,Similar,0.9039,90.39%,4.02,Local CPU
104,STS-B (main-captions),Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,Similar,Similar,0.9295,92.95%,4.02,Local CPU
105,STS-B (main-captions),A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,Similar,Similar,0.9848,98.48%,4.02,Local CPU
106,STS-B (main-captions),Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,Similar,Similar,0.7919,79.19%,4.02,Local CPU
107,STS-B (main-captions),A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,Similar,Similar,0.8112,81.12%,4.02,Local CPU
108,STS-B (main-captions),a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,Similar,Similar,0.8735,87.35%,4.02,Local CPU
109,STS-B (main-captions),A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,Similar,Similar,0.7469,74.69%,4.02,Local CPU
110,STS-B (main-captions),A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,Similar,Similar,0.8009,80.09%,4.02,Local CPU
111,STS-B (main-captions),A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,Similar,Similar,0.7606,76.06%,4.02,Local CPU
112,STS-B (main-captions),Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,Similar,Similar,0.8943,89.43%,4.02,Local CPU
113,STS-B (main-captions),A train is at a train station.,The train sits at the train station.,Similar,Similar,0.8581,85.81%,4.02,Local CPU
114,STS-B (main-captions),Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",Similar,Not Similar,0.6104,61.04%,4.02,Local CPU
115,STS-B (main-captions),A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,Similar,Similar,0.8194,81.94%,4.02,Local CPU
116,STS-B (main-captions),A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,Similar,Not Similar,0.6273,62.73%,4.02,Local CPU
117,STS-B (main-captions),Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,Similar,Not Similar,0.6919,69.19%,4.02,Local CPU
118,STS-B (main-captions),A red and white bus drives down an England street.,A red and white England bus drives down the street.,Similar,Similar,0.9844,98.44%,4.02,Local CPU
119,STS-B (main-captions),A group of horses grazing in a field.,Group of horses grazing in grassy field.,Similar,Similar,0.9664,96.64%,4.02,Local CPU
120,STS-B (main-captions),Several people on motorcycles in a market square.,People on motorbikes in a city street.,Similar,Not Similar,0.5613,56.13%,4.02,Local CPU
121,STS-B (main-captions),Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,Similar,Similar,0.8433,84.33%,4.02,Local CPU
122,STS-B (main-captions),Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,Similar,Not Similar,0.6679,66.79%,4.02,Local CPU
123,STS-B (main-captions),Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,Similar,Similar,0.8912,89.12%,4.02,Local CPU
124,STS-B (main-captions),Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,Similar,Similar,0.7496,74.96%,4.02,Local CPU
125,STS-B (main-captions),Black and white cow standing near pile of snow.,a black and white cow standing in the field.,Similar,Similar,0.7702,77.02%,4.02,Local CPU
126,STS-B (main-captions),A girl is styling her hair.,A girl is brushing her hair.,Not Similar,Similar,0.8052,80.52%,4.02,Local CPU
127,STS-B (main-captions),A man is playing a harp.,A man is playing a keyboard.,Not Similar,Not Similar,0.3556,35.56%,4.02,Local CPU
128,STS-B (main-captions),A woman is cutting onions.,A woman is cutting tofu.,Not Similar,Not Similar,0.5017,50.17%,4.02,Local CPU
129,STS-B (main-captions),A man is playing the drums.,A man is playing the guitar.,Not Similar,Not Similar,0.4757,47.57%,4.02,Local CPU
130,STS-B (main-captions),A man is playing guitar.,A lady is playing the guitar.,Not Similar,Not Similar,0.6182,61.82%,4.02,Local CPU
131,STS-B (main-captions),A man is playing a guitar.,A man is playing a trumpet.,Not Similar,Not Similar,0.5096,50.96%,4.02,Local CPU
132,STS-B (main-captions),A man is playing a guitar.,A man is playing a trumpet.,Not Similar,Not Similar,0.5096,50.96%,4.02,Local CPU
133,STS-B (main-captions),A man is cycling.,A man is talking.,Not Similar,Not Similar,0.3421,34.21%,4.02,Local CPU
134,STS-B (main-captions),A man is slicing a tomato.,A man is slicing a bun.,Not Similar,Not Similar,0.5629,56.29%,4.02,Local CPU
135,STS-B (main-captions),A man is playing a guitar.,A man is playing a keyboard.,Not Similar,Not Similar,0.4958,49.58%,4.02,Local CPU
136,STS-B (main-captions),A man is driving a car.,A man is riding a horse.,Not Similar,Not Similar,0.3028,30.28%,4.02,Local CPU
137,STS-B (main-captions),A woman is cutting tofu.,A woman is cutting an onion.,Not Similar,Not Similar,0.4802,48.02%,4.02,Local CPU
138,STS-B (main-captions),The woman is styling her hair.,The woman is slicing herbs.,Not Similar,Not Similar,0.3257,32.57%,4.02,Local CPU
139,STS-B (main-captions),A man is slicing an onion.,A woman is slicing a pumpkin.,Not Similar,Not Similar,0.5133,51.33%,4.02,Local CPU
140,STS-B (main-captions),A  man is dancing.,A man and woman is dancing.,Not Similar,Similar,0.7003,70.03%,4.02,Local CPU
141,STS-B (main-captions),A man is riding a motorcycle.,A woman is riding a horse.,Not Similar,Not Similar,0.1442,14.42%,4.02,Local CPU
142,STS-B (main-captions),A woman is slicing garlics.,A woman is slicing an onion.,Not Similar,Similar,0.7678,76.78%,4.02,Local CPU
143,STS-B (main-captions),A man is speaking.,A man is cooking.,Not Similar,Not Similar,0.3162,31.62%,4.02,Local CPU
144,STS-B (main-captions),A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,Not Similar,Not Similar,0.6633,66.33%,4.02,Local CPU
145,STS-B (main-captions),A woman is wrapping tofu.,A woman is balling dough.,Not Similar,Not Similar,0.4439,44.39%,4.02,Local CPU
146,STS-B (main-captions),A man is playing a guitar.,A man is eating pasta.,Not Similar,Not Similar,0.1761,17.61%,4.02,Local CPU
147,STS-B (main-captions),A man is kicking pots of water.,A man is picking flowers.,Not Similar,Not Similar,0.2722,27.22%,4.02,Local CPU
148,STS-B (main-captions),A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,Not Similar,Not Similar,0.5674,56.74%,4.02,Local CPU
149,STS-B (main-captions),A woman is taking a bath.,A woman is riding a horse.,Not Similar,Not Similar,0.3469,34.69%,4.02,Local CPU
150,STS-B (main-captions),A man is playing a guitar.,A man is driving a car.,Not Similar,Not Similar,0.2636,26.36%,4.02,Local CPU
151,STS-B (main-captions),A man is cutting apple by his hand.,A man is cutting carpet with a knife.,Not Similar,Not Similar,0.601,60.10%,4.02,Local CPU
152,STS-B (main-captions),A man is opening a door.,A man is cutting an onion.,Not Similar,Not Similar,0.2491,24.91%,4.02,Local CPU
153,STS-B (main-captions),A man is slicing a tomato.,A man is riding a horse.,Not Similar,Not Similar,0.166,16.60%,4.02,Local CPU
154,STS-B (main-captions),A man is cutting paper with a sword.,A woman is cutting a tomato.,Not Similar,Not Similar,0.3898,38.98%,4.02,Local CPU
155,STS-B (main-captions),The ballerina is dancing.,A man is dancing.,Not Similar,Not Similar,0.5917,59.17%,4.02,Local CPU
156,STS-B (main-captions),A woman is dancing.,A woman is playing violin.,Not Similar,Not Similar,0.5061,50.61%,4.02,Local CPU
157,STS-B (main-captions),A woman is slicing some tomatoes.,A woman is chopping a potato.,Not Similar,Not Similar,0.5826,58.26%,4.02,Local CPU
158,STS-B (main-captions),A woman is water skiing.,A woman is slicing fish.,Not Similar,Not Similar,0.2738,27.38%,4.02,Local CPU
159,STS-B (main-captions),A man is playing a flute.,A man is riding a scooter.,Not Similar,Not Similar,0.2302,23.02%,4.02,Local CPU
160,STS-B (main-captions),A man is playing the piano.,A man played the guitar.,Not Similar,Not Similar,0.4795,47.95%,4.02,Local CPU
161,STS-B (main-captions),A woman is picking a can.,A man is playing a guitar.,Not Similar,Not Similar,0.0167,1.67%,4.02,Local CPU
162,STS-B (main-captions),A woman is cutting an onion.,A woman is cleaning a garden.,Not Similar,Not Similar,0.4654,46.54%,4.02,Local CPU
163,STS-B (main-captions),A car is driven down the road.,A girl is walking down a road.,Not Similar,Not Similar,0.5296,52.96%,4.02,Local CPU
164,STS-B (main-captions),A train is moving.,A man is doing yoga.,Not Similar,Not Similar,0.0723,7.23%,4.02,Local CPU
165,STS-B (main-captions),A woman is playing in the ocean.,A woman is preparing shrimp to cook.,Not Similar,Not Similar,0.3847,38.47%,4.02,Local CPU
166,STS-B (main-captions),A man is holding a leaf.,A monkey is fighting a man.,Not Similar,Not Similar,0.2487,24.87%,4.02,Local CPU
167,STS-B (main-captions),A woman is peeling shrimp.,A man is squeezing water.,Not Similar,Not Similar,0.0164,1.64%,4.02,Local CPU
168,STS-B (main-captions),A man is playing a guitar.,A woman is riding a horse.,Not Similar,Not Similar,0.004,0.40%,4.02,Local CPU
169,STS-B (main-captions),A skunk is looking here and there.,A skunk looks at the camera.,Not Similar,Similar,0.8065,80.65%,4.02,Local CPU
170,STS-B (main-captions),A woman opens a window.,A man is crawling.,Not Similar,Not Similar,0.0,0.00%,4.02,Local CPU
171,STS-B (main-captions),The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,Not Similar,Not Similar,0.6997,69.97%,4.02,Local CPU
172,STS-B (main-captions),A woman is filing her nails.,A man is peeling a carrot.,Not Similar,Not Similar,0.0657,6.57%,4.02,Local CPU
173,STS-B (main-captions),A boy is crawling into a dog house.,A boy is playing a wooden flute.,Not Similar,Not Similar,0.213,21.30%,4.02,Local CPU
174,STS-B (main-captions),A woman is swimming underwater.,A man is slicing some carrots.,Not Similar,Not Similar,0.0,0.00%,4.02,Local CPU
175,STS-B (main-captions),A monkey is playing drums.,A gorilla plays the drums.,Not Similar,Similar,0.766,76.60%,4.02,Local CPU
176,STS-B (main-captions),A man is opening a box and taking out paper.,A woman is peeling a potato.,Not Similar,Not Similar,0.0702,7.02%,4.02,Local CPU
177,STS-B (main-captions),A woman is dancing.,A woman plays the clarinet.,Not Similar,Not Similar,0.4128,41.28%,4.02,Local CPU
178,STS-B (main-captions),The men played follow the leader on the grass.,The rhino grazed on the grass.,Not Similar,Not Similar,0.3529,35.29%,4.02,Local CPU
179,STS-B (main-captions),A woman is cracking eggs.,A man is talking to a woman.,Not Similar,Not Similar,0.0839,8.39%,4.02,Local CPU
180,STS-B (main-captions),A woman peels garlic with her hands.,The woman is slicing herbs.,Not Similar,Not Similar,0.548,54.80%,4.02,Local CPU
181,STS-B (main-captions),The cat is licking a bottle.,A cat plays with a small bottle.,Not Similar,Similar,0.7112,71.12%,4.02,Local CPU
182,STS-B (main-captions),A person is slicing an onion.,A person cuts ginger.,Not Similar,Not Similar,0.4799,47.99%,4.02,Local CPU
183,STS-B (main-captions),A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,Not Similar,Not Similar,0.3579,35.79%,4.02,Local CPU
184,STS-B (main-captions),A man is seasoning some carrots.,A woman is slicing garlic.,Not Similar,Not Similar,0.2424,24.24%,4.02,Local CPU
185,STS-B (main-captions),A man is playing a football.,A man is maneuvering a soccer ball with his feet.,Not Similar,Not Similar,0.5592,55.92%,4.02,Local CPU
186,STS-B (main-captions),"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,Not Similar,Not Similar,0.5052,50.52%,4.02,Local CPU
187,STS-B (main-captions),A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,Not Similar,Similar,0.7665,76.65%,4.02,Local CPU
188,STS-B (main-captions),A cat is walking around a house.,A woman is peeling potato.,Not Similar,Not Similar,0.0426,4.26%,4.02,Local CPU
189,STS-B (main-captions),A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,Not Similar,Not Similar,0.2836,28.36%,4.02,Local CPU
190,STS-B (main-captions),A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,Not Similar,Not Similar,0.6433,64.33%,4.02,Local CPU
191,STS-B (main-captions),A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,Not Similar,Not Similar,0.6611,66.11%,4.02,Local CPU
192,STS-B (main-captions),A man is playing guitar.,A boy is talking to a giant dog.,Not Similar,Not Similar,0.0,0.00%,4.02,Local CPU
193,STS-B (main-captions),A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,Not Similar,Not Similar,0.5715,57.15%,4.02,Local CPU
194,STS-B (main-captions),A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,Not Similar,Not Similar,0.4207,42.07%,4.02,Local CPU
195,STS-B (main-captions),A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,Not Similar,Not Similar,0.5336,53.36%,4.02,Local CPU
196,STS-B (main-captions),Five men jump into a swimming pool.,A group of swimmers fall into a pool.,Not Similar,Not Similar,0.6191,61.91%,4.02,Local CPU
197,STS-B (main-captions),A cat is playing on the floor.,A man is slicing garlic.,Not Similar,Not Similar,0.0059,0.59%,4.02,Local CPU
198,STS-B (main-captions),A boy is playing violin on stage.,A person is mixing a pot.,Not Similar,Not Similar,0.1126,11.26%,4.02,Local CPU
199,STS-B (main-captions),A man is cycling.,A boy is riding a bicycle.,Not Similar,Not Similar,0.52,52.00%,4.02,Local CPU
200,STS-B (main-captions),A woman is slicing ginger.,A person is holding two baby lorises.,Not Similar,Not Similar,0.066,6.60%,4.02,Local CPU
201,STS-B (main-captions),A man is dragging a dead deer.,A man is jumping into water from a cliff.,Not Similar,Not Similar,0.2118,21.18%,4.02,Local CPU
202,STS-B (main-captions),A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,Not Similar,Not Similar,0.2897,28.97%,4.02,Local CPU
